Date,Close,High,Low,Open,Volume,SMA,EMA,RSI,MACD,MACD_Signal,BB_Upper,BB_Middle,BB_Lower,ATR,Close_Lag_1,Close_Lag_2,Close_Lag_3,Close_Lag_5,Close_Lag_10
2023-07-14,19564.5,19595.34961,19433.5,19493.44922,291200,19269.053850000004,19277.80360705551,72.50797889512353,242.94573307414248,228.59227309179883,19739.40428686468,19122.9250975,18506.44590813532,147.60437517810638,19413.75,19384.30078,19439.40039,19331.80078,19189.05078
2023-07-17,19711.44922,19731.84961,19562.94922,19612.15039,268700,19341.928850000004,19335.623022114774,75.6829273274488,256.4862897537314,234.17107642418534,19818.231823001825,19167.1975585,18516.163293998176,149.12551909395611,19564.5,19413.75,19384.30078,19355.90039,19322.55078
2023-07-18,19749.25,19819.44922,19690.19922,19787.5,286400,19408.489536428573,19390.773285832805,76.43677382042604,267.1875141636265,240.77436397207356,19886.080307959284,19216.8875975,18547.694887040718,147.70583915867354,19711.44922,19564.5,19413.75,19439.40039,19389.0
2023-07-19,19833.15039,19851.69922,19727.44922,19802.94922,259700,19469.99316357143,19449.756899721764,78.06235803000247,279.21970099002647,248.46343137566413,19961.549454619384,19267.710156,18573.870857380618,146.03042207591116,19749.25,19711.44922,19564.5,19384.30078,19398.5
2023-07-20,19979.15039,19991.84961,19758.40039,19831.69922,274700,19526.428850000004,19520.342698425527,80.5738665072115,297.11136074301976,258.19301724913527,20056.140390499135,19323.825195000005,18591.509999500875,152.27462192763193,19833.15039,19749.25,19711.44922,19413.75,19497.30078
2023-07-21,19745.0,19887.40039,19700.0,19800.44922,312500,19556.60379428572,19550.297005302124,67.27217461982524,289.06449484302357,264.36731276791295,20080.476980102936,19372.512695000005,18664.548409897074,161.33717678994384,19979.15039,19833.15039,19749.25,19564.5,19331.80078
2023-07-24,19672.34961,19782.75,19658.30078,19748.44922,265600,19576.84305214286,19566.570685928506,63.755301264791534,273.6703152935297,266.2279132730363,20062.45115152845,19422.8551755,18783.25919947155,158.70232273351917,19745.0,19979.15039,19833.15039,19711.44922,19355.90039
2023-07-25,19680.59961,19729.34961,19615.94922,19729.34961,369700,19596.993024285715,19581.774542471372,63.985550778629815,259.1487180363074,264.8120742256905,20025.060423200302,19472.325195,18919.5899667997,155.46647039541085,19672.34961,19745.0,19979.15039,19749.25,19439.40039
2023-07-26,19778.30078,19825.59961,19716.69922,19733.34961,244700,19617.064452857147,19607.978040808524,66.68470897089443,252.61196203094732,262.37205178674185,19999.141400539127,19520.3702145,19041.59902846087,154.7188653671672,19680.59961,19672.34961,19745.0,19833.15039,19384.30078
2023-07-27,19659.90039,19867.55078,19603.55078,19850.90039,334900,19640.50013928572,19614.90102070072,60.74331810323348,235.16675784405743,256.93099299820494,19964.96112170302,19554.7602535,19144.55938529698,162.52466069808384,19778.30078,19680.59961,19672.34961,19979.15039,19413.75
2023-07-28,19646.05078,19695.90039,19563.09961,19659.75,258700,19661.225167142864,19619.054321940625,60.069128133310215,217.71408757975587,249.08761191451512,19953.235559514447,19577.610253500003,19201.98494748556,160.40152636250625,19659.90039,19778.30078,19680.59961,19745.0,19564.5
2023-07-31,19753.80078,19772.75,19597.59961,19666.34961,295100,19683.68233785715,19637.02051634854,63.466474150975074,210.15471244299988,241.30103202021206,19963.08504817388,19599.172753500003,19235.260458826124,161.45501662232715,19646.05078,19659.90039,19778.30078,19672.34961,19711.44922
2023-08-01,19733.55078,19795.59961,19704.59961,19784.0,298000,19708.62876642858,19649.891218168734,62.39210614417258,200.22181497182828,233.0851886105353,19971.39603804238,19616.400292500002,19261.404546957623,156.42251543501808,19753.80078,19646.05078,19659.90039,19680.59961,19749.25
2023-08-02,19526.55078,19678.25,19423.55078,19655.40039,290700,19716.685965000008,19633.445826412903,52.59147493504489,173.64507974544904,221.19716683751807,19966.27988868983,19622.8028315,19279.32577431017,167.39233576108822,19733.55078,19753.80078,19646.05078,19778.30078,19833.15039
2023-08-03,19381.65039,19537.65039,19296.44922,19463.75,315700,19703.62527857144,19599.87310155785,47.02320225747994,139.2849845140081,204.8147303728161,19972.440465777327,19617.020312,19261.600158222675,172.66439534958195,19526.55078,19733.55078,19753.80078,19659.90039,19979.15039
2023-08-04,19517.0,19538.84961,19436.44922,19462.80078,280800,19689.736048571438,19588.823354683467,52.1224827628904,121.57450859747769,188.16668601774842,19960.51263898974,19626.280273000004,19292.047907010266,171.5597399674691,19381.65039,19526.55078,19733.55078,19646.05078,19745.0
2023-08-07,19597.30078,19620.44922,19524.80078,19576.84961,216600,19678.88253285715,19589.953678059006,54.89632987516146,112.7190753455252,173.07716388330377,19949.27703462684,19638.3502925,19327.423550373158,166.6947028269355,19517.0,19381.65039,19526.55078,19753.80078,19672.34961
2023-08-08,19570.84961,19634.40039,19533.09961,19627.19922,260300,19660.14676285715,19587.40646898447,53.79080442674054,102.38644512994142,158.9390201326313,19944.084424978882,19644.9227535,19345.761082021116,162.0237083392971,19597.30078,19517.0,19381.65039,19733.55078,19680.59961
2023-08-09,19632.55078,19645.5,19467.5,19578.80078,266500,19635.38964785715,19593.425710453208,56.01592765122633,98.04631313619393,146.76047873334383,19931.79340256603,19657.335253499998,19382.877104433966,163.16487202934732,19570.84961,19597.30078,19517.0,19526.55078,19778.30078
2023-08-10,19543.09961,19623.59961,19495.40039,19605.55078,312200,19620.96819142858,19586.715563726113,52.09911067990186,86.39288205122284,134.68695939691963,19920.518848954736,19663.802733999997,19407.086619045258,161.306694741537,19632.55078,19570.84961,19597.30078,19381.65039,19659.90039
2023-08-11,19428.30078,19557.75,19412.75,19554.25,235500,19603.536132142868,19565.593592562633,47.50793396262164,67.12042530885083,121.17365257930587,19930.557553031216,19656.992772999998,19383.42799296878,160.14193083142723,19543.09961,19632.55078,19570.84961,19517.0,19646.05078
2023-08-14,19434.55078,19465.84961,19257.90039,19383.94922,243900,19585.961215714295,19548.121217554282,47.77775541312703,51.75459252997098,107.2898405694389,19931.893324626395,19643.147850999994,19354.402377373593,163.55673720061117,19428.30078,19543.09961,19632.55078,19597.30078,19753.80078
2023-08-16,19465.0,19482.75,19317.19922,19369.0,0,19563.58258857144,19537.038388547044,49.14914824759358,41.55503633534681,94.14287972262048,19923.319056515415,19628.935350999996,19334.55164548458,163.69916882913904,19434.55078,19428.30078,19543.09961,19570.84961,19733.55078
2023-08-17,19365.25,19461.55078,19326.25,19450.55078,268700,19542.53613214287,19514.133270074104,44.98175790491958,25.133104429754894,80.34092466404736,19905.6031495225,19605.540331499993,19305.477513477486,161.9170853413434,19465.0,19434.55078,19428.30078,19632.55078,19526.55078
2023-08-18,19310.15039,19373.80078,19253.59961,19301.75,256100,19518.543247142872,19486.93555273089,42.82185624537349,7.585090835007577,65.7897578982394,19846.12725073663,19572.090331499996,19298.05341226336,158.93737710267604,19365.25,19465.0,19434.55078,19543.09961,19381.65039
