Date,Close,High,Low,Open,Volume
08-05-24,24055.59961,24350.05078,23893.69922,24302.84961,487000
08-06-24,23992.55078,24382.59961,23960.40039,24189.84961,312300
08-07-24,24297.5,24337.69922,24184.90039,24289.40039,317600
08-08-24,24117,24340.5,24079.69922,24248.55078,311900
08-09-24,24367.5,24419.75,24311.19922,24386.84961,215100
08-12-24,24347,24472.80078,24212.09961,24320.05078,279900
08-13-24,24139,24359.94922,24116.5,24342.34961,239700
08-14-24,24143.75,24196.5,24099.69922,24184.40039,303300
08-16-24,24541.15039,24563.90039,24204.5,24334.84961,271600
08-19-24,24572.65039,24638.80078,24522.94922,24636.34961,243600
08-20-24,24698.84961,24734.30078,24607.19922,24648.90039,238300
08-21-24,24770.19922,24787.94922,24654.5,24680.55078,257100
08-22-24,24811.5,24867.34961,24784.44922,24863.40039,220300
08-23-24,24823.15039,24858.40039,24771.65039,24845.40039,206800
08-26-24,25010.59961,25043.80078,24874.69922,24906.09961,210300
08-27-24,25017.75,25073.09961,24973.65039,25024.80078,223300
08-28-24,25052.34961,25129.59961,24964.65039,25030.80078,220400
08-29-24,25151.94922,25192.90039,24998.5,25035.30078,354000
08-30-24,25235.90039,25268.34961,25199.40039,25249.69922,638200
09-02-24,25278.69922,25333.65039,25235.5,25333.59961,222800
09-03-24,25279.84961,25321.69922,25235.80078,25313.40039,212100
09-04-24,25198.69922,25216,25083.80078,25089.94922,253800
09-05-24,25145.09961,25275.44922,25127.75,25250.5,222200
09-06-24,24852.15039,25168.75,24801.30078,25093.69922,311700
09-09-24,24936.40039,24957.5,24753.15039,24823.40039,254400
09-10-24,25041.09961,25130.5,24896.80078,24999.40039,251300
09-11-24,24918.44922,25113.69922,24885.15039,25034,279200
09-12-24,25388.90039,25433.34961,24941.44922,25059.65039,380100
09-13-24,25356.5,25430.5,25292.44922,25430.44922,250800
09-16-24,25383.75,25445.69922,25336.19922,25406.65039,168700
09-17-24,25418.55078,25441.65039,25352.25,25416.90039,216000
09-18-24,25377.55078,25482.19922,25285.55078,25402.40039,215700
09-19-24,25415.80078,25611.94922,25376.05078,25487.05078,314500
09-20-24,25790.94922,25849.25,25426.59961,25525.94922,533100
09-23-24,25939.05078,25956,25847.34961,25872.55078,209200
09-24-24,25940.40039,26011.55078,25886.84961,25921.44922,384100
09-25-24,26004.15039,26032.80078,25871.34961,25899.44922,278500
09-26-24,26216.05078,26250.90039,25998.40039,26005.40039,370900
09-27-24,26178.94922,26277.34961,26151.40039,26248.25,490300
09-30-24,25810.84961,26134.69922,25794.09961,26061.30078,343100
10-01-24,25796.90039,25907.59961,25739.19922,25788.44922,247400
10-03-24,25250.09961,25639.44922,25230.30078,25452.84961,423400
10-04-24,25014.59961,25485.05078,24966.80078,25181.90039,374900
10-07-24,24795.75,25143,24694.34961,25084.09961,374300
10-08-24,25013.15039,25044,24756.80078,24832.19922,333200
10-09-24,24981.94922,25234.05078,24947.69922,25065.80078,290600
10-10-24,24998.44922,25134.05078,24979.40039,25067.05078,261400
10-11-24,24964.25,25028.65039,24920.05078,24985.30078,210500
