Date,Open,High,Low,Close,Volume
22-02-2023,3424.8999,3447.55,3395.1001,3400.55,41593
23-02-2023,3410.5,3453.75,3408,3414.1001,41914
24-02-2023,3421.2,3434,3382.55,3400.05,35329
27-02-2023,3397.8999,3397.8999,3317.3,3331.8501,30683
28-02-2023,3331.8501,3392,3300.05,3314.1499,56090
01-03-2023,3326.5,3389.05,3320,3385.8501,48789
02-03-2023,3369.95,3369.95,3318,3321.1499,48727
03-03-2023,3360,3360,3331,3342.75,15677
06-03-2023,3356,3404,3356,3371.5,57870
08-03-2023,3361,3395,3331.7,3389.7,30873
09-03-2023,3389.7,3389.7,3329,3337.45,48171
10-03-2023,3311,3337,3295,3331.05,54663
13-03-2023,3331.05,3369.25,3272,3282.3999,81352
14-03-2023,3275.55,3304,3210,3216.8501,240605
15-03-2023,3242.55,3261.2,3191,3198.75,95877
16-03-2023,3196,3219,3171.45,3184.75,52784
17-03-2023,3151,3220,3145,3178.95,269767
20-03-2023,3173.5,3173.5,3096.1001,3141.2,52684
21-03-2023,3145,3155,3097,3105.8999,34240
22-03-2023,3121.3501,3143.6001,3106.1001,3130.7,33080
23-03-2023,3117,3144,3100.8,3124,26541
24-03-2023,3145,3169.7,3108.8,3121.45,34882
27-03-2023,3123.8501,3151.95,3105.8501,3120.1001,77555
28-03-2023,3122,3145.3501,3110,3115.5,31013
29-03-2023,3125,3149,3105,3138.1001,25771
31-03-2023,3191,3214,3153,3205.8,39813
03-04-2023,3225,3225,3175,3199.25,29210
05-04-2023,3190,3263.6001,3185.75,3236.8,188173
06-04-2023,3227.5,3256.8999,3216.7,3221.7,139159
10-04-2023,3217,3271,3215.55,3263.2,101932
11-04-2023,3275,3275,3193.2,3214.25,103589
12-04-2023,3218,3259.95,3200,3242.1001,126563
13-04-2023,3210.05,3226,3181.05,3189.8501,232961
17-04-2023,3150,3163.3501,3070.3,3139.6001,191858
18-04-2023,3148.05,3155.8,3111.3,3131.3,151970
19-04-2023,3126,3132.05,3072.3501,3088.7,185687
20-04-2023,3100,3112.95,3079,3104.45,76175
21-04-2023,3101,3165.75,3101,3161.6499,58734
24-04-2023,3151,3180.6001,3126.6001,3174.1499,122196
25-04-2023,3180,3190.8501,3148.8999,3175.3,76223
26-04-2023,3176,3207,3176,3199.7,40943
27-04-2023,3200,3200,3171,3187.1001,80128
28-04-2023,3208,3227.2,3197.1499,3216,51644
02-05-2023,3217,3232.1001,3211,3219.2,69567
03-05-2023,3209.05,3215.75,3174.05,3180.3,53799
04-05-2023,3191.95,3224.5,3181,3220.3501,74186
05-05-2023,3220.3,3242.8999,3210,3230.8501,23445
08-05-2023,3230.8501,3253,3230.8501,3249.95,53011
09-05-2023,3247,3298.2,3246.5,3283.8999,23799
10-05-2023,3288,3306.3,3268,3285.95,62216
11-05-2023,3306,3309,3272.5,3281.5,22830
12-05-2023,3281.5,3290,3259.3501,3273.75,19204
15-05-2023,3280.5,3292.75,3249.1499,3253.1499,20898
